Criticality ranking,Failure Cause code,Possible cause of the failure (Failure Mode),Q (M3/hr),No liquid delivery,Pd (kg/cm2),NPSHR (m),Pm (kw)/Ct (amps),h (%),Change in Vibration,"Vib. Signature, l (mm/s)","Spike energy, gSE","Noise, dB",Mech. Seal leakage,TP (0C),TB(oC),TMoC,Disc. Cntrl. Vlv. Opening (%),Average Deviation
FC1,FM21,Worn wearing ring,(-),,(--),NC,(++),(--),yes,1. Peak at Vane pass freq.,(+),NC,,NC,NC,,(++),
,,SV of parameters,57.7, -,54.6,,17,60, -,2.8,0.5, -,,,, -,35,
,,1st. Threshold values of parameters,54.8, -,47,,18,53, -,4.5,2.5, -,,,, -,45,0.751114491923953
,,Deviation (in %) of 1st Threshold value,0.050259965337955, -,0.139194139194139,,0.058823529411765,0.116666666666667, -,0.607142857142857,4,,,,, -,0.285714285714286,0.751114491923953
,,2nd. Threshold value,54.8, -,42,,19,40, -,4.6,3, -,,,, -,60,1.01273606362956
,,Deviation (in %) of 2nd Threshold value,0.050259965337955, -,0.230769230769231,,0.117647058823529,0.333333333333333, -,0.642857142857143,5, -,,,, -,0.714285714285714,
FC2,FM22,"Worn, rusted defective bearing",NC, -,NC,NC,(++),NC,yes,1. Dominant peak at Bearing defect freq.,(++),(++),,NC,(++),NC,NC,
,,SV of parameters,, -,,,17,,,2.8,0.5,,,,70,,,
,,1st. Threshold values of parameters,, -,,,18,,,4.5,2.5,,,,80,,,1.20220588235294
,,Deviation (in %) of 1st Threshold value,, -,,,0.058823529411765,,,0.607142857142857,4,,,,0.142857142857143,,,
,,2nd. Threshold value,, -,,,19,,,4.6,3,,,,90,,,1.51155462184874
,,Deviation (in %) of 2nd Threshold value,, -,,,0.117647058823529,,,0.642857142857143,5,,,,0.285714285714286,,,
FC3,FM19,Starvation at Pump suction/Insufficient suction volume,(--),,(--),NC,(--),NC,yes,1. Peak at Vane pass freq.,(++),(++),,(+),(++),,(++),
,,SV of parameters,57.7,,54.6,,17,,,2.8,0.5,,,260,70,,35,
,,1st. Threshold values of parameters,54.8,,47,,15,,,4.5,2.5,,,300,80,,45,0.687082700364508
,,Deviation (in %) of 1st Threshold value,0.050259965337955,,0.139194139194139,,0.117647058823529,,,0.607142857142857,4,,,0.153846153846154,0.142857142857143,,0.285714285714286,
,,2nd. Threshold value,54.8,,42,,15,,,4.6,3,,,320,90,,60,0.909037828569636
,,Deviation (in %) of 2nd Threshold value,0.050259965337955,,0.230769230769231,,0.117647058823529,,,0.642857142857143,5,,,0.230769230769231,0.285714285714286,,0.714285714285714,
FC4,FM12,Internal rubbing,NC,,NC,NC,(++),NC,yes,"1. Multiple harmonics at 1X.
2. 0.5X, 0.33X harmonics.",(++),(+),,(++),NC,NC,,
,,SV of parameters,,,,,17,,,2.8,0.5,,,260,,,,
